document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1314213081882,W13,R6,1
1314212738215,W58,R5,1
1316215573700,W39,R6,1
1323222021444,S34,R6,1
1324222409688,S41,R6,1
1317216111411,W13,R6,1
1316215544988,W50,R6,1
1321219614260,S06,R2,1
1314212322224,W13,R6,1
1315214343675,W56,R6,1
1314212390710,W52,R4,1
1318216747333,W49,R1,1
1316215150741,W58,R5,1
1324223050206,S06,R2,1
1322220742819,S11,R3,1
1316215795232,W82,R3,1
1319218116693,W53,R5,1
1315214339208,W13,R6,1
1321220041887,S25,R6,1
1319217694191,W52,R6,1
1316215589538,W19,R5,1
1317215842271,W13,R6,1
1323221955418,S04,R6,1
1324223196546,S25,R6,1
1323221982111,S21,R5,1
1322221311323,S21,R6,1
1319218448759,W39,R6,1
1318217221605,W13,R6,1
1324223092356,S35,R5,1
1319217835418,W39,R5,1
1318216880803,W82,R2,1
1316215234574,W52,R6,1
1318217224625,W58,R2,1
1317216206235,W19,R4,1
1323221943970,S06,R1,1
1314211898693,W13,R3,1
1320219396835,W71,R2,1
1314213149913,W19,R6,1
1317215867882,W42,R4,1
1315214453615,W43,R4,1
1319218140832,W61,R4,1
1317216400337,W15,R6,1
1316215636109,W19,R6,1
1317216138774,W42,R4,1
1320219034307,W19,R6,1
1320219049121,W82,R5,1
1320219241888,W52,R4,1
1321220405068,S24,R6,1
1321220209086,S44,R6,1
1314212689804,W58,R3,1
1323221914157,S42,R5,1
1315213974417,W51,R5,1
1320218950741,W19,R3,1
1320219270749,W58,R6,1
1317216138709,W61,R3,1
1317216604898,W33,R6,1
1319218350559,W58,R6,1
1317216217733,W14,R5,1
1320218888319,W13,R6,1
1318217466820,W39,R6,1
1318217285131,W58,R3,1
1317215946118,W89,R5,1
1314212555926,W15,R6,1
1322220660245,S02,R5,1
1322221346226,S41,R3,1
1315213716071,W52,R3,1
1315214245894,W39,R6,1
1314212881421,W50,R6,1
1315214325159,W21,R3,1
1319218260560,W89,R3,1
1319217630161,W49,R5,1
1319217852348,W19,R5,1
1322221698576,S21,R5,1
1315214357865,W58,R6,1
1321220027270,S21,R6,1
1324222431684,S13,R6,1
1314212703767,W42,R3,1
1315213803517,W39,R6,1
1314212560294,W22,R4,1
1316215044090,W13,R6,1
1317215906948,W14,R6,1
1316215087584,W13,R6,1
1317216592752,W89,R6,1
1318216727723,W58,R1,1
1324222509806,S44,R6,1
1315214215283,W29,R6,1
1320219064348,W89,R1,1
1318217181433,W52,R5,1
1316215087519,W14,R6,1
1315214330538,W32,R6,1
1315214028336,W19,R6,1
1323221978606,S03,R6,1
1318216846105,W21,R6,1
1317216200079,W52,R5,1
1320219090370,W58,R4,1
1315214050155,W13,R4,1
1324222876524,S21,R6,1
1322221260526,S25,R6,1
1315214191900,W21,R6,1
1319218389777,W19,R6,1
1315214240374,W59,R6,1
1316215007295,W58,R6,1
