industry_code,industry_description
324,Petroleum
331,Primary Metals
336,Transportation Equipment
323,Printing
326,Plastics and Rubber
325,Chemicals
332,Fabricated Metals
327,Nonmetallic Mineral Product
322,Paper
311,Food
334,Computers and Electronic Products
333,Machinery
335,Electrical Equipment
313,Textiles
314,Textile Product
339,Miscellaneous Manufacturing
4246,Chemical Wholesalers
321,Wood Products
3121,Beverages
337,Furniture
999,Other
2211,Electric Utilities
4247,Petroleum Bulk Terminals
562,Hazardous Waste
316,Leather
2122,Metal Mining
2121,Coal Mining
211,Natural Gas Processing
3122,Tobacco
