document_control_number,total_release,medium
1314213081882,22486,air
1314212738215,588,air
1316215573700,0,air
1323222021444,16,air
1324222409688,0,air
1317216111411,0,air
1316215544988,4800,air
1321219614260,255,air
1314212322224,0,air
1315214343675,500,air
1314212390710,0,air
1318216747333,0,air
1316215150741,255,air
1324223050206,0,air
1322220742819,30,air
1316215795232,0,air
1319218116693,20,air
1315214339208,0,air
1321220041887,2445,air
1319217694191,0,air
1316215589538,169,air
1317215842271,284,air
1323221955418,1,air
1324223196546,5,air
1323221982111,6567,air
1322221311323,0,air
1319218448759,7404,air
1318217221605,0,air
1324223092356,0,air
1319217835418,5289,air
1318216880803,6,air
1316215234574,2287,air
1318217224625,0,air
1317216206235,134809,air
1323221943970,0,air
1314211898693,250,air
1320219396835,0,air
1314213149913,7421,air
1317215867882,864,air
1315214453615,8,air
1319218140832,298,air
1317216400337,13,air
1316215636109,0,air
1317216138774,0,air
1320219034307,0,air
1320219049121,0,air
1320219241888,0,air
1321220405068,23,air
1321220209086,7894,air
1314212689804,0,air
1323221914157,3197,air
1315213974417,0,air
1320218950741,0,air
1320219270749,0,air
1317216138709,12657,air
1317216604898,2649,air
1319218350559,0,air
1317216217733,30,air
1320218888319,8,air
1318217466820,230,air
1318217285131,18,air
1317215946118,3,air
1314212555926,107,air
1322220660245,79,air
1322221346226,101445,air
1315213716071,848,air
1315214245894,8308,air
1314212881421,27,air
1315214325159,36,air
1319218260560,298,air
1319217630161,0,air
1319217852348,0,air
1322221698576,0,air
1315214357865,0,air
1321220027270,61,air
1324222431684,0,air
1314212703767,0,air
1315213803517,7607,air
1314212560294,1980,air
1316215044090,40,air
1317215906948,0,air
1316215087584,0,air
1317216592752,0,air
1318216727723,444,air
1324222509806,0,air
1315214215283,640,air
1320219064348,16314,air
1318217181433,34247,air
1316215087519,14680,air
1315214330538,306,air
1315214028336,0,air
1323221978606,0,air
1318216846105,7400,air
1317216200079,379000,air
1320219090370,0,air
1315214050155,50,air
1324222876524,250,air
1322221260526,179,air
1315214191900,5,air
1319218389777,3870,air
1315214240374,14,air
1316215007295,0,air
1314213013461,0,air
1317216614596,10,air
1318216983433,4444,air
1322221434741,6,air
1314212637920,8,air
1317215976768,5,air
1316215116625,28,air
1322220875138,0,air
1324222645691,0,air
1320220657480,143,air
1316215374036,0,air
1314211929827,1,air
1318216679276,551,air
1317216052682,4,air
1315213688157,2655,air
1315213702754,4,air
1321219997715,0,air
1320218865867,1064,air
1314212604868,29847,air
1314212748329,0,air
1324222714457,0,air
1316215544925,10258,air
1324222893190,9,air
1315213766405,960,air
1314212558934,6032,air
1316215592926,1,air
1315214394494,317,air
1324222480675,24347,air
1319218027290,6207,air
1315213207487,156,air
1314213002936,7200,air
1324222559799,0,air
1324222998460,18263,air
1324222898013,38,air
1323221875661,0,air
1321219640000,6666,air
1321219810571,500,air
1316214985222,389,air
1322221083696,0,air
1320218929255,84,air
1323221660525,0,air
1324222873782,5780,air
1322221441316,0,air
1320219357478,10,air
1315214102360,812,air
1316215015381,0,air
1319218411938,32,air
1319217665862,10,air
1316215493343,0,air
1319218273415,3926,air
1315214295115,255,air
1315214339160,0,air
1315214361545,20034,air
1315213694045,35743,air
1316215640448,1814,air
1314212626927,315,air
1323222044012,0,air
1323221806425,0,air
1321219596259,0,air
1316214989826,5,air
1314211916919,9481,air
1315213655069,8467,air
1320219217484,4,air
1322221141753,21,air
1314212659270,97,air
1320218836183,500,air
1315213211562,4585,air
1322220732349,16067,air
1320218732408,0,air
1324223153533,1,air
1323222379796,0,air
1315214475764,1,air
1314213117866,0,air
1324222438893,99,air
1317215996149,0,air
1318216708014,337,air
1318217672308,0,air
1320219274901,18,air
1315214428777,85,air
1316215027018,18908,air
1316215745670,0,air
1322221102320,0,air
1316215394899,159,air
1324222893024,0,air
1320219359926,0,air
1321220097366,0,air
1320219319769,0,air
1314212382713,5,air
1316215127313,0,air
1324222565259,21975,air
1323222353815,0,air
1322221199084,0,air
1315213707514,2,air
1317216501193,110,air
1315214436735,0,air
1316215120357,43930,air
1317216464432,0,air
1324222691091,1770,air
1324222432813,0,air
1315213846583,790,air
