tri_facility_id,facility_name,city_name,state_abbr,region_code,public_email
79721FNLNDIS20E,ALON USA-BIG SPRING REFINERY,BIG SPRING,TX,6,DON.DURIVAGE@DELEKUS.COM
15301DYNMT195MU,DYNAMET INC,WASHINGTON,PA,3,ACLARKE@CARTECH.COM
43731PCCRF11CHI,PCC AIRFOILS LLC - CROOKSVILLE,CROOKSVILLE,OH,5,JOHN.NADZAN@PCCAIRFOILS.COM
37873PCLCN306GE,MUNDET TENNESSEE INC,SURGOINSVILLE,TN,4,JOHNNY.MILLER@DELFORTGROUP.COM
45356HRTZLONEPR,HARTZELL PROPELLER,PIQUA,OH,5,JGRASMAN@HARTZELLPROP.COM
24441RYNLDCAVER,GROTTOES PLASTICS PLANT,GROTTOES,VA,3,BRIAN.PLESKOWICZ@PACTIVEVERGREEN.COM
50616SLSBR1900R,CAMBREX CHARLES CITY INC,CHARLES CITY,IA,7,ERIC.MAYHEW@CAMBREX.COM
6484WLMNMF298ED,ALUMINUM FINISHERS LLC,GRANBY,MO,7,DALLIOSN@ASI-MO.COM
7521WDWNTW24SIN,DOWNTOWN DALLAS PLANT,DALLAS,TX,6,JWARNER@ARGOS-US.COM
13601KNWLT213FA,KNOWLTON TECHNOLOGIES LLC,WATERTOWN,NY,2,WIHARD@EASTMAN.COM
54840BRNTT11631,BURNETT DAIRY COOPERATIVE CHEESE PLANT,GRANTSBURG,WI,5,TAMMY.BERTELSEN@BURNETTDAIRY.COM
67217CNTRN255SC,CENTER INDUSTRIES CORP,WICHITA,KS,7,NIKKIB@CENTERINDUSTRIES.COM
87045MCKNLCOUNT,MCKINLEY PAPER & PACKAGING - NM PAPER MILL,PREWITT,NM,6,IROSAS@BIOPAPPEL.COM
98682CNTRL395NE,CONTROLTEK INC.,VANCOUVER,WA,10,SEAN.NEILL@VEXOS.COM
44278CHMNC390MU,PROTECH POWDER COATINGS DBA CHEMIONICS CORP,TALLMADGE,OH,5,KKAVALCHEK@THEPROTECHGROUP.COM
0156WLNZMR63DUG,LENZE AMERICAS CORP,UXBRIDGE,MA,1,JAROD.SARNO@LENZE.COM
7505WLTCRT1711B,LATICRETE INTERNATIONAL INC. GRAND PRAIRIE,GRAND PRAIRIE,TX,6,EBEHN@LATICRETE.COM
7702WNLSTL95CLI,O'NEAL STEEL INC,HOUSTON,TX,6,WBRITTAIN@ONEALMFG.COM
50595VNDSTOLDHW,VAN DIEST SUPPLY CO,WEBSTER CITY,IA,7,LEE.TRASK@VDSC.COM
15301WSTPN2833W,WEST PENN WIRE/CDT - WA,WASHINGTON,PA,3,DEREK.WAGNER@BELDEN.COM
1566WQNNRG11TEC,AQUION ENERGY INC,MOUNT PLEASANT,PA,3,JWHITACRE@AQUION-ENERGY.COM
12138TCNCPCOONB,TONOGA INC DBA TACONIC,PETERSBURGH,NY,2,TIMK@4TACONIC.COM
1335WRMRMS14HEF,REMARMS LLC,ILION,NY,2,PAUL.BOMAN@REMARMS.COM
44483JXTCC1745V,AJAX TOCCO WARREN OHIO PLANT,WARREN,OH,5,RCUTSHALL@AJAXTOCCO.COM
44460WRRNM800PE,VENTRA SALEM LLC.,SALEM,OH,5,MWOLFORD@FLEXNGATE.COM
