V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.ZIP_CODE,V_TRI_FORM_R_EZ.REGION,V_TRI_FORM_R_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FORM_R_EZ.DOC_CTRL_NUM,V_TRI_FORM_R_EZ.CAS_REGISTRY_NUMBER,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.MAX_AMOUNT_OF_CHEM,Code Expansion for Maximum Amount Of Chemical,V_TRI_FORM_R_EZ.CAS_CHEM_NAME,V_TRI_FORM_R_EZ.CARC_IND,V_TRI_FORM_R_EZ.PFAS_IND,V_TRI_FORM_R_EZ.METAL_IND,V_TRI_FORM_R_EZ.PRODUCE,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.SALE_DISTRIBUTION,V_TRI_FORM_R_EZ.BYPRODUCT,V_TRI_FORM_R_EZ.PROCESS_IMPURITY,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_IND,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_1,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_1,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_2,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_3,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_3,V_TRI_FORM_R_EZ.INDUSTRY_CODE,V_TRI_FORM_R_EZ.INDUSTRY_DESCRIPTION
"79721FNLNDIS20E","ALON USA-BIG SPRING REFINERY","BIG SPRING","TX","79720","6","DON.DURIVAGE@DELEKUS.COM","1314213081882","71-43-2","2014","08","50000000  to  99999999","Benzene","1","N","N","1","0","1","0","0","22486.25","0","0","","W13","R6","","","","","324","Petroleum"
"15301DYNMT195MU","DYNAMET INC","WASHINGTON","PA","15301","3","ACLARKE@CARTECH.COM","1314212738215","7664-39-3","2014","04","10000  to  99999","Hydrogen fluoride","0","N","N","0","0","0","0","0","588","0","0","","W58","R5","","","","","331","Primary Metals"
"43731PCCRF11CHI","PCC AIRFOILS LLC - CROOKSVILLE","CROOKSVILLE","OH","43731","5","JOHN.NADZAN@PCCAIRFOILS.COM","1316215573700","7440-48-4","2016","05","100000  to  999999","Cobalt","1","N","Y","0","0","0","0","0","0",".32","0","","W39","R6","","","","","336","Transportation Equipment"
"37873PCLCN306GE","MUNDET TENNESSEE INC","SURGOINSVILLE","TN","37873","4","JOHNNY.MILLER@DELFORTGROUP.COM","1323222021444","7429-90-5","2023","04","10000  to  99999","Aluminum (fume or dust)","0","N","N","0","0","0","0","0","16","0","0","","S34","R6","","","","","323","Printing"
"45356HRTZLONEPR","HARTZELL PROPELLER","PIQUA","OH","45356","5","JGRASMAN@HARTZELLPROP.COM","1324222409688","7440-50-8","2024","04","10000  to  99999","Copper","0","N","Y","0","0","0","0","0",".49","0","0","","S41","R6","","","","","336","Transportation Equipment"
"24441RYNLDCAVER","GROTTOES PLASTICS PLANT","GROTTOES","VA","24441","3","BRIAN.PLESKOWICZ@PACTIVEVERGREEN.COM","1317216111411","N982","2017","04","10000  to  99999","Zinc compounds","0","N","Y","0","0","0","0","0","0","0","0","","W13","R6","W15","","","","326","Plastics and Rubber"
"50616SLSBR1900R","CAMBREX CHARLES CITY INC","CHARLES CITY","IA","50616","7","ERIC.MAYHEW@CAMBREX.COM","1316215544988","7647-01-0","2016","03","1000  to  9999","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)","0","N","N","1","0","0","1","0","4800","0","0","","W50","R6","","","","","325","Chemicals"
"6484WLMNMF298ED","ALUMINUM FINISHERS LLC","GRANBY","MO","64844","7","DALLIOSN@ASI-MO.COM","1321219614260","131-11-3","2021","02","100  to  999","Dimethyl phthalate","0","N","N","0","0","0","0","0","255","0","0","","S06","R2","","","","","332","Fabricated Metals"
"7521WDWNTW24SIN","DOWNTOWN DALLAS PLANT","DALLAS","TX","75212","6","JWARNER@ARGOS-US.COM","1314212322224","7439-92-1","2014","01","0  to  99","Lead","1","N","Y","0","0","0","0","1",".0083",".0003","0","","W13","R6","","","","","327","Nonmetallic Mineral Product"
"13601KNWLT213FA","KNOWLTON TECHNOLOGIES LLC","WATERTOWN","NY","13601","2","WIHARD@EASTMAN.COM","1315214343675","108-95-2","2015","05","100000  to  999999","Phenol","0","N","N","0","0","0","0","0","500","0","0","","W56","R6","","","","","322","Paper"
