cas_registry_number,cas_chem_name,carc_ind,pfas_ind,metal_ind
71-43-2,Benzene,1,0,0
7664-39-3,Hydrogen fluoride,0,0,0
7440-48-4,Cobalt,1,0,1
7429-90-5,Aluminum (fume or dust),0,0,0
7440-50-8,Copper,0,0,1
N982,Zinc compounds,0,0,1
7647-01-0,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0,0,0
131-11-3,Dimethyl phthalate,0,0,0
7439-92-1,Lead,1,0,1
108-95-2,Phenol,0,0,0
7697-37-2,Nitric acid,0,0,0
107-21-1,Ethylene glycol,0,0,0
N420,Lead compounds,0,0,1
554-13-2,Lithium carbonate,0,0,0
7440-02-0,Nickel,1,0,1
1918-00-9,Dicamba,0,0,0
N010,Antimony compounds,0,0,1
N450,Manganese compounds,0,0,1
100-41-4,Ethylbenzene,1,0,0
MIXTURE,Mixture,0,0,0
108-88-3,Toluene,0,0,0
7439-96-5,Manganese,0,0,1
7664-41-7,Ammonia,0,0,0
N090,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,0,1
75-09-2,Dichloromethane,1,0,0
7440-47-3,Chromium,0,0,1
67-56-1,Methanol,0,0,0
N106,Cyanide compounds,0,0,0
N511,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0,0,0
7783-06-4,Hydrogen sulfide,0,0,0
101-14-4,"4,4'-Methylenebis(2-chloroaniline)",1,0,0
106-94-5,1-Bromopropane,1,0,0
79-21-0,Peracetic acid,0,0,0
N590,Polycyclic aromatic compounds,1,0,0
N535,Nonylphenol Ethoxylates,0,0,0
100-42-5,Styrene,1,0,0
N495,Nickel compounds,1,0,1
N230,Certain glycol ethers,0,0,0
71-36-3,n-Butyl alcohol,0,0,0
1330-20-7,Xylene (mixed isomers),0,0,0
75-07-0,Acetaldehyde,1,0,0
110-82-7,Cyclohexane,0,0,0
N100,Copper compounds,0,0,1
N120,Diisocyanates,0,0,0
62-53-3,Aniline,1,0,0
68-12-2,"N,N-Dimethylformamide",1,0,0
115-07-1,Propylene,0,0,0
80-62-6,Methyl methacrylate,0,0,0
108-93-0,Cyclohexanol,0,0,0
7782-50-5,Chlorine,0,0,0
137-26-8,Thiram,0,0,0
95-63-6,"1,2,4-Trimethylbenzene",0,0,0
123-31-9,Hydroquinone,0,0,0
108-10-1,Methyl isobutyl ketone,1,0,0
N458,Mercury compounds,0,0,1
N270,Hexabromocyclododecane,0,0,0
7632-00-0,Sodium nitrite,0,0,0
50-00-0,Formaldehyde,1,0,0
98-95-3,Nitrobenzene,1,0,0
79-01-6,Trichloroethylene,1,0,0
91-20-3,Naphthalene,1,0,0
872-50-4,N-Methyl-2-pyrrolidone,0,0,0
110-54-3,n-Hexane,0,0,0
N150,Dioxin and dioxin-like compounds,1,0,0
7440-36-0,Antimony,0,0,1
80-05-7,"4,4'-Isopropylidenediphenol",0,0,0
117-81-7,Di(2-ethylhexyl) phthalate,1,0,0
7440-43-9,Cadmium,1,0,1
7440-66-6,Zinc (fume or dust),0,0,0
