src_red_code,src_red_desc
S01,Substituted a fuel
S02,Substituted an organic solvent
S03,"Substituted raw materials, feedstock, or reactant chemical"
S04,"Substituted manufacturing aid, processing aid, or other ancillary chemical"
S05,"Modified content, grade, or purity of a chemical input"
S06,Other material modifications made
S11,Reformulated or developed new product line
S12,"Altered dimensions, components, or final design of product"
S13,Modified product packaging
S14,Other product modifications made
S21,Optimized process conditions to increase efficiency
S22,Instituted recirculation within a process
S23,"Implemented new technology, technique, or process"
S24,Modified or updated equipment or layout
S25,Other process modifications made
S31,"Instituted better labeling, testing, or other inventory management practices"
S32,Changed size or type of containers procured
S33,Improved containment or material handling operations
S34,Improved monitoring practices of potential spill or leak sources
S35,Other improvements to inventory and material management
S41,"Improved scheduling, record keeping, or procedures for operations, cleaning, and maintenance"
S42,Changed production schedule to minimize equipment and material changeovers
S43,Introduced in-line product quality monitoring or other process analysis system
S44,Other improvements to operating practices or operator training
